# tracer: function_graph
#
#     TIME        CPU  TASK/PID         DURATION                  FUNCTION CALLS
#      |          |     |    |           |   |                     |   |   |   |
   11.712959 |   2)     dd-127     |   0.125 us    |                                              } /* folio_mapping */
   11.712960 |   2)     dd-127     |   0.129 us    |                                              __rcu_read_unlock();
   11.712960 |   2)     dd-127     |   0.126 us    |                                              mod_node_page_state();
   11.712960 |   2)     dd-127     |   0.125 us    |                                              __mod_zone_page_state();
   11.712960 |   2)     dd-127     |   1.563 us    |                                            } /* lru_add */
   11.712961 |   2)     dd-127     |               |                                            lru_add() {
   11.712961 |   2)     dd-127     |   0.125 us    |                                              __rcu_read_lock();
   11.712961 |   2)     dd-127     |   0.124 us    |                                              folio_mapping();
   11.712961 |   2)     dd-127     |   0.124 us    |                                              __rcu_read_unlock();
   11.712961 |   2)     dd-127     |   0.125 us    |                                              mod_node_page_state();
   11.712962 |   2)     dd-127     |   0.126 us    |                                              __mod_zone_page_state();
   11.712962 |   2)     dd-127     |   1.476 us    |                                            } /* lru_add */
   11.712962 |   2)     dd-127     |               |                                            lru_add() {
   11.712962 |   2)     dd-127     |   0.122 us    |                                              __rcu_read_lock();
   11.712963 |   2)     dd-127     |   0.123 us    |                                              folio_mapping();
   11.712963 |   2)     dd-127     |   0.123 us    |                                              __rcu_read_unlock();
   11.712963 |   2)     dd-127     |   0.127 us    |                                              mod_node_page_state();
   11.712963 |   2)     dd-127     |   0.124 us    |                                              __mod_zone_page_state();
   11.712964 |   2)     dd-127     |   1.518 us    |                                            } /* lru_add */
   11.712964 |   2)     dd-127     |               |                                            lru_add() {
   11.712964 |   2)     dd-127     |   0.123 us    |                                              __rcu_read_lock();
   11.712964 |   2)     dd-127     |   0.122 us    |                                              folio_mapping();
   11.712965 |   2)     dd-127     |   0.123 us    |                                              __rcu_read_unlock();
   11.712965 |   2)     dd-127     |   0.125 us    |                                              mod_node_page_state();
   11.712965 |   2)     dd-127     |   0.126 us    |                                              __mod_zone_page_state();
   11.712965 |   2)     dd-127     |   1.475 us    |                                            } /* lru_add */
   11.712966 |   2)     dd-127     |               |                                            lru_add() {
   11.712966 |   2)     dd-127     |   0.123 us    |                                              __rcu_read_lock();
   11.712966 |   2)     dd-127     |   0.123 us    |                                              folio_mapping();
   11.712966 |   2)     dd-127     |   0.124 us    |                                              __rcu_read_unlock();
   11.712966 |   2)     dd-127     |   0.128 us    |                                              mod_node_page_state();
   11.712967 |   2)     dd-127     |   0.124 us    |                                              __mod_zone_page_state();
   11.712967 |   2)     dd-127     |   1.475 us    |                                            } /* lru_add */
   11.712967 |   2)     dd-127     |               |                                            lru_add() {
   11.712967 |   2)     dd-127     |   0.123 us    |                                              __rcu_read_lock();
   11.712968 |   2)     dd-127     |   0.124 us    |                                              folio_mapping();
   11.712968 |   2)     dd-127     |   0.125 us    |                                              __rcu_read_unlock();
   11.712968 |   2)     dd-127     |   0.125 us    |                                              mod_node_page_state();
   11.712968 |   2)     dd-127     |   0.124 us    |                                              __mod_zone_page_state();
